country_name,yr2017
Tuvalu,11192
Nauru,13649
Palau,21729
British Virgin Islands,31196
St. Martin (French part),32125
San Marino,33400
Gibraltar,34571
Turks and Caicos Islands,35446
Liechtenstein,37922
Monaco,38695
Faroe Islands,49290
Marshall Islands,53127
Northern Mariana Islands,55144
St. Kitts and Nevis,55345
American Samoa,55641
Greenland,56171
Cayman Islands,61559
Bermuda,65441
Dominica,73925
Andorra,76965
Isle of Man,84287
Seychelles,95843
Antigua and Barbuda,102012
Aruba,105264
"Micronesia, Fed. Sts.",105544
Virgin Islands (U.S.),107268
Grenada,107825
Tonga,108020
St. Vincent and the Grenadines,109897
Kiribati,116398
Curacao,161014
Guam,164229
Channel Islands,165314
St. Lucia,178844
Samoa,196440
Sao Tome and Principe,204327
Vanuatu,276244
New Caledonia,280460
French Polynesia,283007
Barbados,285719
Iceland,341284
Belize,374681
"Bahamas, The",395361
Brunei Darussalam,428697
Maldives,436330
Malta,465292
Cabo Verde,546388
Suriname,563402
Luxembourg,599449
Solomon Islands,611343
Montenegro,622471
"Macao SAR, China",622567
Guyana,777859
Bhutan,807610
Comoros,813912
Fiji,905502
Djibouti,956985
Cyprus,1179551
Mauritius,1264613
Equatorial Guinea,1267689
Timor-Leste,1296311
Estonia,1315480
Eswatini,1367254
Trinidad and Tobago,1369125
Bahrain,1492584
Kosovo,1830700
Guinea-Bissau,1861283
Latvia,1940740
Gabon,2025137
Slovenia,2066748
"Macedonia, FYR",2083160
"Gambia, The",2100568
Lesotho,2233339
Botswana,2291661
Pacific island small states,2419188
Namibia,2533794
Qatar,2639211
Lithuania,2827721
Albania,2873457
Jamaica,2890299
Armenia,2930450
Mongolia,3075647
Puerto Rico,3337177
Uruguay,3456750
Bosnia and Herzegovina,3507017
Moldova,3549750
Georgia,3717100
Panama,4098587
Croatia,4125700
Kuwait,4136528
Mauritania,4420184
Oman,4636262
Central African Republic,4659080
Liberia,4731906
New Zealand,4793900
Ireland,4813608
Costa Rica,4905769
"Congo, Rep.",5260750
Norway,5282223
Slovak Republic,5439892
Finland,5511303
Singapore,5612253
Turkmenistan,5758075
Denmark,5769603
Lebanon,6082357
Kyrgyz Republic,6201500
Nicaragua,6217581
Libya,6374616
El Salvador,6377853
Paraguay,6811297
Lao PDR,6858160
Bulgaria,7075991
Caribbean small states,7284294
"Hong Kong SAR, China",7391700
Sierra Leone,7557212
Togo,7797694
Papua New Guinea,8251162
Switzerland,8466017
Israel,8712400
Austria,8809212
Tajikistan,8921343
Honduras,9265067
United Arab Emirates,9400145
Belarus,9507875
Jordan,9702353
Hungary,9781127
Azerbaijan,9862429
Sweden,10067744
Portugal,10293718
Czech Republic,10591323
Greece,10760421
Dominican Republic,10766998
Burundi,10864245
Haiti,10981229
Bolivia,11051600
Benin,11175692
Belgium,11372068
Cuba,11484636
Tunisia,11532127
Rwanda,12208407
South Sudan,12575714
Guinea,12717176
Somalia,14742523
Chad,14899994
Senegal,15850567
Cambodia,16005373
Zimbabwe,16529904
Ecuador,16624858
Guatemala,16913503
Zambia,17094130
Netherlands,17132854
Kazakhstan,18037646
Chile,18054726
Syrian Arab Republic,18269868
Mali,18541980
Malawi,18622104
Burkina Faso,19193382
Romania,19586539
Sri Lanka,21444000
Niger,21477348
Cameroon,24053727
Cote d'Ivoire,24294750
Australia,24598933
"Korea, Dem. People’s Rep.",25490965
Madagascar,25570895
"Yemen, Rep.",28250420
Ghana,28833629
Nepal,29304998
Mozambique,29668834
Angola,29784193
Other small states,30621014
Malaysia,31624264
"Venezuela, RB",31977065
Peru,32165485
Uzbekistan,32387200
Saudi Arabia,32938213
Afghanistan,35530081
Morocco,35739580
Canada,36708083
Poland,37975841
Iraq,38274618
Sudan,40533330
Algeria,41318142
Uganda,42862958
Argentina,44271041
Ukraine,44831159
Spain,46572028
Colombia,49065615
Kenya,49699862
"Korea, Rep.",51466201
Myanmar,53370609
South Africa,56717156
Tanzania,57310019
Italy,60551416
United Kingdom,66022273
France,67118648
Thailand,69037513
Turkey,80745020
"Iran, Islamic Rep.",81162788
"Congo, Dem. Rep.",81339988
Germany,82695000
Vietnam,95540800
"Egypt, Arab Rep.",97553151
Philippines,104918090
Ethiopia,104957438
Japan,126785797
Mexico,129163276
Russian Federation,144495044
Bangladesh,164669751
Nigeria,190886311
Pakistan,197015955
Brazil,209288278
Indonesia,263991379
United States,325719178
India,1339180127
China,1386395000
